"id";"subject_type";"subject_value";"relation_type";"relation_value";"object_type";"object_value";"confidence"
20484;"PERSON";"Barack Obama";"O";"be president of";"LOCATION";"US";1.0
20485;"ORGANIZATION";"Disney";"O";"have";"PERSON";"Alexander";1.0
20486;"ORGANIZATION";"CSM";"O";"partner with";"ORGANIZATION";"Harvard University";1.0
20487;"PERSON";"Howard Gardner";"O";"by";"ORGANIZATION";"GoodPlay Project";1.0
20488;"LOCATION";"sway Calloway";"O";"be anchor of";"ORGANIZATION";"MTV News";1.0
20489;"PERSON";"Susan Crown";"O";"be philanthropist of";"LOCATION";"Chicago";1.0
20490;"PERSON";"Edward Markey";"O";"be representative of";"LOCATION";"Massachusetts";1.0
20491;"PERSON";"Bill";"O";"be of";"ORGANIZATION";"California Senate";1.0
20492;"ORGANIZATION";"Maternal & Child Health Library";"O";"be at";"ORGANIZATION";"Georgetown University";1.0
20493;"LOCATION";"London";"O";"in court be";"ORGANIZATION";"Patents Court";1.0
20494;"LOCATION";"Lik-Sang";"O";"be by";"PERSON";"Nov";1.0
20495;"PERSON";"Steamworks";"O";"also provide";"PERSON";"Valve Anti-Cheat";1.0
20496;"PERSON";"valve";"O";"by";"PERSON";"Doug Lombardi";1.0
20497;"ORGANIZATION";"bfe";"O";"be with";"PERSON";"Steamworks";1.0
20498;"ORGANIZATION";"BT Group";"O";"file lawsuit against";"ORGANIZATION";"valve";1.0
20499;"PERSON";"Tom";"O";"have";"LOCATION";"US";1.0
20500;"PERSON";"Jess Cliffe IceFrog Sam Lantinga Mike Morasky Brad Muir Gabe Newell Robin Walker";"O";"be mod source filmmaker mod of";"ORGANIZATION";"Orange Box Alien Swarm Dota Technology Hardware Steam Controller Steam Machine Steam Link HTC Vive Software GoldSrc";1.0
20501;"PERSON";"Athene '' Boumaaza";"O";"be with";"PERSON";"Bachir";1.0
20502;"PERSON";"John";"O";"be game critic of";"ORGANIZATION";"YouTube";1.0
20503;"ORGANIZATION";"activate gaming community avenger for Humanitarian Emergency All-Out Response Team";"O";"be in";"LOCATION";"Ethiopia";1.0
20504;"PERSON";"Alok Kejriwal";"O";"be key people of";"LOCATION";"India";1.0
20505;"ORGANIZATION";"Ltd";"O";"be along with";"PERSON";"Mahesh Khambadkone";1.0
20506;"ORGANIZATION";"Sega Corporation";"O";"be of";"LOCATION";"Japan";1.0
20507;"PERSON";"Gameswin";"O";"launch";"PERSON";"appucino";1.0
20508;"PERSON";"Fulp";"O";"partner with";"ORGANIZATION";"troma";1.0
20509;"ORGANIZATION";"Cheltenham Curtis Publishing Company Einstein Medical Center Oak Lane";"O";"be holy sepulchre cemetery of";"LOCATION";"Elkins Estate Lynnewood Hall Cheltenham Square mall Newgrounds Tookany Creek";1.0
20510;"PERSON";"Tom Bramwell";"O";"edit";"PERSON";"Eurogamer";1.0
20511;"PERSON";"Johnny Minkley";"O";"be editor of";"ORGANIZATION";"Eurogamer TV";1.0
20512;"LOCATION";"Eurogamer Belgium";"O";"form";"PERSON";"Eurogamer Benelux";1.0
20513;"PERSON";"Alexa";"O";"be game journalism website www.gametrailers.com of";"ORGANIZATION";"Brandon Jones Industry Video";1.0
20514;"PERSON";"Jon Slusser";"O";"be as";"ORGANIZATION";"svp";1.0
20515;"PERSON";"James Rolfe";"O";"be from";"ORGANIZATION";"Cinemassacre Productions";1.0
20516;"ORGANIZATION";"Magyar Bahasa Melayu";"O";"be ??????? of";"LOCATION";"Bahasa Indonesia";1.0
20517;"PERSON";"Daniel McNeely";"O";"be key people of";"PERSON";"Daniel McNeely";1.0
20518;"ORGANIZATION";"Congress Street";"O";"be in";"LOCATION";"Austin";1.0
20519;"PERSON";"Burns";"O";"meet";"PERSON";"Geoff Ramsey";1.0
20520;"PERSON";"Rooster Teeth";"O";"be acquire by";"PERSON";"Fullscreen";1.0
20521;"PERSON";"Rooster Teeth";"O";"office in";"LOCATION";"Los Angeles";0.7150571798861997
20522;"PERSON";"Jordan Cwierz";"O";"release";"ORGANIZATION";"rtaa";1.0
20523;"PERSON";"Gavin Free";"O";"be as";"PERSON";"vav";1.0
20524;"PERSON";"Jessica DiCicco";"O";"be as";"PERSON";"Ash Samaya";1.0
20525;"PERSON";"Rooster Teeth";"O";"collaborate behind";"PERSON";"mega";1.0
20526;"PERSON";"Gavin Free";"O";"be of";"PERSON";"Hunter";1.0
20527;"ORGANIZATION";"Social Disorder";"O";"follow";"PERSON";"Aaron Marquis";1.0
20528;"PERSON";"Rooster Teeth";"O";"shoot";"PERSON";"Lazer Team";1.0
20529;"PERSON";"Joel Rubin";"O";"leave";"PERSON";"Funhaus";1.0
20530;"PERSON";"Geoff Ramsey";"O";"be by";"PERSON";"Rooster Teeth";1.0
20531;"ORGANIZATION";"Moody Theater";"O";"be in";"LOCATION";"Austin";1.0
20532;"PERSON";"Nico Audy-Rowland";"O";"be of";"PERSON";"Trocadero";1.0
20533;"ORGANIZATION";"Disney princess";"O";"be at";"LOCATION";"Walt Disney World";1.0
20534;"LOCATION";"Philly";"O";"be in";"LOCATION";"Philadelphia";1.0
20535;"PERSON";"Rooster Teeth";"O";"have";"PERSON";"Burnie Burns";1.0
20536;"PERSON";"Lazer Team";"O";"cast";"PERSON";"Victoria Pratt";1.0
20537;"ORGANIZATION";"Vivendi Universal Games";"ORGANIZATION";"select";"ORGANIZATION";"BeSeen Communications";1.0
20538;"ORGANIZATION";"AT&T SportsNet Northwest";"O";"be channel at&t sports networks of";"ORGANIZATION";"AT&T Business Internet BellSouth FastAccess dsl directory Anywho.com Yellowpages.com Television";1.0
20539;"PERSON";"Alexa";"O";"be website www.roll.net of";"PERSON";"Richard Zayas";1.0
20540;"PERSON";"Bruce Baumgart";"O";"win";"PERSON";"Tovar";1.0
20541;"LOCATION";"United States";"O";"be such as";"ORGANIZATION";"Robert Morris University Illinois";1.0
20542;"PERSON";"John Skipper";"O";"be president of";"ORGANIZATION";"ESPN";1.0
20543;"ORGANIZATION";"canadian league of Legends";"ORGANIZATION";"be of";"PERSON";"Le";1.0
20544;"ORGANIZATION";"Schalke";"O";"be in";"LOCATION";"France";1.0
20545;"PERSON";"Christian";"O";"be player of";"ORGANIZATION";"league of Legends";1.0
20546;"PERSON";"Aleksey";"O";"be player of";"PERSON";"Dota";1.0
20547;"PERSON";"Cheon";"O";"be player of";"ORGANIZATION";"League of Legends";1.0
20548;"ORGANIZATION";"ESPN";"O";"be streaming service of";"ORGANIZATION";"ESPN";1.0
20549;"PERSON";"Steve Bornstein";"O";"be executive of";"ORGANIZATION";"NFL Network";1.0
20550;"PERSON";"Hamari";"O";"be of";"ORGANIZATION";"Professional eSports Association United Kingdom eSports Association References";1.0
20551;"PERSON";"Erica Tseng";"O";"be manager of";"ORGANIZATION";"Taipei Assassins";1.0
20552;"PERSON";"Rick Fox";"O";"be player of";"ORGANIZATION";"NBA";1.0
20553;"PERSON";"Peer Schneider";"O";"be key people of";"PERSON";"Jonathan Simpson-Bint";1.0
20554;"ORGANIZATION";"IGN";"O";"be rank accord to";"PERSON";"Alexa";1.0
20555;"LOCATION";"AT&T Park";"O";"be in";"LOCATION";"San Francisco";1.0
20556;"ORGANIZATION";"IGN Entertainment";"O";"merge with";"ORGANIZATION";"GameSpy Industries";1.0
20557;"ORGANIZATION";"IGN";"O";"open office outside";"LOCATION";"United States";1.0
20558;"LOCATION";"Middle East";"O";"be as";"ORGANIZATION";"IGN Movies";1.0
20559;"LOCATION";"Spain";"O";"be to";"ORGANIZATION";"IGN";1.0
20560;"ORGANIZATION";"comic Reader Comic Shop News Comics Buyer 's Guide Comics International Comics Scene Hero Illustrated Rocket";"ORGANIZATION";"have";"ORGANIZATION";"Comics Bulletin ComicsAlliance Comics & Cola IGN Newsarama Databases Grand Comics Database INDUCKS";1.0
20561;"PERSON";"Altaba";"O";"be successor company of";"ORGANIZATION";"Yahoo";1.0
20562;"PERSON";"Altaba";"O";"be purchase of";"ORGANIZATION";"Verizon";1.0
20563;"PERSON";"David Filo";"O";"in";"LOCATION";"Louisiana";1.0
20564;"PERSON";"Carol Bartz";"O";"replace";"PERSON";"Yang";1.0
20565;"ORGANIZATION";"Yahoo";"O";"outperform";"ORGANIZATION";"Google";1.0
20566;"ORGANIZATION";"Yahoo";"O";"acquire";"PERSON";"Cooliris";1.0
20567;"ORGANIZATION";"Wall Street Journal";"O";"have";"PERSON";"Douglas MacMillan";1.0
20568;"PERSON";"Marissa Mayer";"O";"be ceo of";"ORGANIZATION";"Yahoo";1.0
20569;"LOCATION";"Russia";"O";"of";"ORGANIZATION";"Federal Security Service";1.0
20570;"ORGANIZATION";"Yahoo";"O";"purchase";"ORGANIZATION";"GeoCities";1.0
20571;"PERSON";"Koprol";"O";"be acquire by";"ORGANIZATION";"Yahoo";1.0
20572;"PERSON";"MyBlogLog";"O";"be discontinue by";"ORGANIZATION";"Yahoo";1.0
20573;"ORGANIZATION";"World Organization";"O";"sue yahoo on behalf of";"PERSON";"Wang";1.0
20574;"ORGANIZATION";"Yahoo";"O";"be criticize by";"ORGANIZATION";"electronic Frontier Foundation";1.0
20575;"ORGANIZATION";"SoftBank";"O";"own in";"LOCATION";"Europe";1.0
20576;"ORGANIZATION";"Yahoo";"O";"be in";"LOCATION";"USA";1.0
20577;"PERSON";"Blake Irving";"O";"be chief product officer of";"ORGANIZATION";"Yahoo";1.0
20578;"ORGANIZATION";"Yahoo";"O";"on";"PERSON";"Marissa Mayer";1.0
20579;"ORGANIZATION";"Yahoo";"O";"have";"PERSON";"Marissa Mayer";1.0
20580;"ORGANIZATION";"Verizon";"O";"buy";"ORGANIZATION";"Yahoo";0.5041355159129871
20581;"LOCATION";"CANADA";"O";"be reuters of";"ORGANIZATION";"THOMSON";1.0
20582;"ORGANIZATION";"Yahoo";"O";"have";"PERSON";"Mayer";1.0
20583;"ORGANIZATION";"Yahoo";"O";"have";"PERSON";"Mayer";1.0
20584;"ORGANIZATION";"Yahoo";"O";"sell % stake to";"ORGANIZATION";"Alibaba";1.0
20585;"PERSON";"Marissa";"O";"have";"ORGANIZATION";"Tumblr";1.0
20586;"ORGANIZATION";"UI Library Corporate Oath Verizon Communications Acquisitions Criticism history Timeline Related People David Filo Marissa Mayer Jerry Yang Related Altaba Yahoo! Japan";"O";"be version smart tv development developer network boss query language of";"ORGANIZATION";"Tech TV View Advertising Flurry Panama Communication answer group mail Rivals.com Software Messenger";1.0
20587;"ORGANIZATION";"Alibaba Group";"O";"be internet search engine of";"LOCATION";"United States";1.0
20588;"LOCATION";"Whitewater";"O";"be at";"LOCATION";"Bloomington";1.0
20589;"ORGANIZATION";"University of Wisconsin";"O";"be at";"LOCATION";"Whitewater";1.0
20590;"ORGANIZATION";"University of Wisconsin";"O";"be at";"LOCATION";"Whitewater";1.0
20591;"ORGANIZATION";"University of Wisconsin";"O";"be at";"LOCATION";"Whitewater";1.0
20592;"ORGANIZATION";"University of Wisconsin";"O";"be at";"LOCATION";"Whitewater";1.0
20593;"PERSON";"Alexa";"O";"be website gamezone.com of";"PERSON";"Kathy Connors";1.0
20594;"LOCATION";"Michigan";"O";"be by";"PERSON";"Jeff";1.0
20595;"PERSON";"Alan Cox Amy s";"O";"be the mud connector mythic entertainment plaintext players simutronics skotos xyzzy award people of";"ORGANIZATION";"Areae Iron Realms Entertainment Jagex Lysator Kesmai";1.0
20596;"PERSON";"Christopher Howard Wolf Edward Castronova Elonka Dunin Espen J";"O";"be cat rambo chip morningstar of";"PERSON";"Bruckman Andrew Gower Ben Laurie Brad McQuaid Brian Green Bruce Woodcock";1.0
20597;"PERSON";"Ziff Davis";"O";"acquire";"ORGANIZATION";"IGN Entertainment";1.0
20598;"PERSON";"Jim Sterling";"O";"leave";"PERSON";"Destructoid";1.0
20599;"PERSON";"Gonzalez";"O";"fly to";"LOCATION";"Costa Rica";1.0
20600;"LOCATION";"Desura";"O";"be include";"PERSON";"Frozenbyte";1.0
20601;"PERSON";"Desura";"O";"be buy by";"PERSON";"Linden Lab";1.0
20602;"PERSON";"Desura";"O";"have";"ORGANIZATION";"USC";1.0
20603;"PERSON";"Chester";"O";"be po chessmaster challenge d of";"ORGANIZATION";"Backgammon PO Bingo PO Catan D Checkers PO Chess";1.0
20604;"PERSON";"James Eade";"O";"have recommend";"ORGANIZATION";"Yahoo! Chess";1.0
20605;"ORGANIZATION";"UI Library Corporate Oath Verizon Communications Acquisitions Criticism history Timeline Related People David Filo Marissa Mayer Jerry Yang Related Altaba Yahoo! Japan";"O";"be version smart tv development developer network boss query language of";"ORGANIZATION";"Tech TV View Advertising Flurry Panama Communication answer group mail Rivals.com Software Messenger";1.0
20606;"PERSON";"Shaw";"O";"be of";"PERSON";"Alex";1.0
20607;"PERSON";"Ross";"O";"be along with";"PERSON";"Eric";1.0
20608;"ORGANIZATION";"fox Sports Club";"O";"be in";"LOCATION";"Seattle";1.0
20609;"PERSON";"Workman";"O";"be by";"PERSON";"Sean";1.0
20610;"PERSON";"Rothbart";"O";"have criticize";"PERSON";"Frawlz";1.0
20611;"PERSON";"Frawlz";"O";"wager to";"PERSON";"Rothbart";1.0
20612;"PERSON";"esmeralda";"O";"replace";"PERSON";"Lesley";1.0
20613;"PERSON";"Knuckles Dawson";"O";"be with";"ORGANIZATION";"Respawn Radio";1.0
20614;"ORGANIZATION";"Respawn Radio";"O";"return with";"PERSON";"Lono";1.0
20615;"PERSON";"Adams";"O";"be by";"PERSON";"Jeromy";1.0
20616;"PERSON";"Sutton";"O";"be by";"PERSON";"Mike";1.0
20617;"PERSON";"Jim Lanzone";"O";"be key people of";"LOCATION";"United States";1.0
20618;"ORGANIZATION";"CBS Interactive Inc";"O";"be website www.cbsinteractive.com of";"ORGANIZATION";"CBS Corporation";1.0
20619;"ORGANIZATION";"CBS interactive";"O";"coordinate with";"ORGANIZATION";"CBS Network sale";1.0
20620;"ORGANIZATION";"CNET Networks";"O";"be acquire by";"ORGANIZATION";"CBS";0.6978008443287541
20621;"PERSON";"Jim Lanzone";"O";"be hire of";"ORGANIZATION";"CBS interactive";1.0
20622;"ORGANIZATION";"Major League gaming partner";"O";"be with";"ORGANIZATION";"CBS Interactive";1.0
20623;"ORGANIZATION";"Wallstrip Channels";"O";"be download.com findarticles gamefaqs gamerankings gooey movietome mp.com versiontracker of";"ORGANIZATION";"CBS Innertube";1.0
20624;"PERSON";"Natali Morris Rafe Needleman Andrew Nusca Ryan Seacrest Molly Wood Contributors";"O";"be minor of";"PERSON";"Matthew Barzun Veronica Belmont Esther Dyson Ina Fried Richard Hart James Kim Declan McCullagh Tom Merritt Halsey";1.0
20625;"ORGANIZATION";"Wallstrip Channels";"O";"be download.com findarticles gamefaqs gamerankings gooey movietome mp.com versiontracker of";"ORGANIZATION";"CBS Innertube";1.0
20626;"PERSON";"Natali Morris Rafe Needleman Andrew Nusca Ryan Seacrest Molly Wood Contributors";"O";"be minor of";"PERSON";"Matthew Barzun Veronica Belmont Esther Dyson Ina Fried Richard Hart James Kim Declan McCullagh Tom Merritt Halsey";1.0
20627;"PERSON";"Jim Bankoff";"O";"be people of";"PERSON";"Jerome Armstrong Tyler Bleszinski Markos Moulitsas Key";1.0
20628;"PERSON";"Christopher Grant";"O";"be by";"ORGANIZATION";"Joystiq";1.0
20629;"PERSON";"Ezra Klein";"O";"be by";"ORGANIZATION";"Washington Post";1.0
20630;"ORGANIZATION";"Vox";"O";"hire";"PERSON";"Chris Grant";1.0
20631;"PERSON";"Ezra Klein";"O";"be join";"ORGANIZATION";"Vox Media";0.692763490034341
20632;"PERSON";"Tom Bramwell";"O";"edit";"PERSON";"Eurogamer";1.0
20633;"PERSON";"Johnny Minkley";"O";"be editor of";"ORGANIZATION";"Eurogamer TV";1.0
20634;"LOCATION";"Eurogamer Belgium";"O";"form";"PERSON";"Eurogamer Benelux";1.0
20635;"ORGANIZATION";"DirectDrive";"O";"have";"PERSON";"Berger";1.0
20636;"LOCATION";"Europe";"O";"be of";"ORGANIZATION";"CGA";1.0
20637;"ORGANIZATION";"Oprah Magazine Parents People Prevention Reader 's Digest Real simple Redbook Rolling Stone self seventeen shape Smithsonian Southern live Sports Illustrated taste of Home The American Legion";"ORGANIZATION";"be of";"ORGANIZATION";"day woman 's Health";1.0
20638;"ORGANIZATION";"GameStop magazine";"O";"be in";"LOCATION";"Minnesota";1.0
20639;"ORGANIZATION";"Reliance Big Entertainment";"O";"be subsidiary company of";"ORGANIZATION";"Anil Dhirubhai Ambani Group";1.0
20640;"PERSON";"Zapak";"O";"introduce";"PERSON";"Zapakmail";1.0
20641;"PERSON";"Zapak Gameplex";"O";"be in";"LOCATION";"Fun Republic Malls";1.0
20642;"ORGANIZATION";"llc";"O";"base in";"LOCATION";"Los Angeles";0.6371401173977418
20643;"LOCATION";"Michigan";"O";"be by";"PERSON";"Michael Erlewine";1.0
20644;"PERSON";"Rovi";"O";"sell consumer access to";"ORGANIZATION";"Media Network";1.0
20645;"PERSON";"Alexa";"O";"be website www.escapistmagazine.com of";"PERSON";"Tom Kurz";1.0
20646;"PERSON";"Croshaw";"O";"be by";"PERSON";"Ben";1.0
20647;"ORGANIZATION";"BioWare Telltale Valve Corporation Firaxis Valve Corporation BioWare Mojang BioWare Valve Corporation BioWare Turbine BioWare Turbine Harmonix dispute";"O";"be with";"PERSON";"James Portnow";1.0
20648;"PERSON";"Jack Thompson";"O";"contact";"PERSON";"Lou Kerner";1.0
